GitHub com login,GitHub com name,Enterprise server user ids,GitHub com user,Enterprise server user,Visual studio subscription user,License type,GitHub com profile,GitHub com member roles,GitHub com enterprise roles,GitHub com verified domain emails,GitHub com saml name,GitHub com orgs with pending invites,GitHub com two factor auth,GitHub com two factor auth required by date,GitHub com advanced security license user,Enterprise server primary emails,Enterprise server advanced security user ids,Visual studio license status,Visual studio subscription email,Total user accounts
"",,356:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,weldon_borer98@company.dev,"",,,1
"",,502:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,della.rohan75@gmail.com,"",,,1
"",,1489:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,nelle.dickinson50@gmail.com,"",,,1
"",,1311:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,fern.rolfson@gmail.com,"",,,1
"",,73:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,lillian_greenfelder80@github.com,"",,,1
"",,369:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,gerald25@gmail.com,"",,,1
"",,1442:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,juanita.anderson@github.com,"",,,1
"",,424:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,emmalee49@github.com,"",,,1
"",,261:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,marshall59@github.com,"",,,1
"",,31:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,burdette35@github.com,"",,,1
"",,417:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,dedric.langworth99@github.com,"",,,1
"",,858:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,angelica.klocko@company.dev,"",,,1
"",,601:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,ocie_marks@github.com,"",,,1
"",,614:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,jordon.ohara@gmail.com,"",,,1
"",,297:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,mandy_ortiz@company.dev,"",,,1
"",,926:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,toby_will@github.com,"",,,1
"",,503:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,forrest.jacobi@company.dev,"",,,1
"",,598:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,ramiro_veum76@gmail.com,"",,,1
"",,1025:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,bethany9@gmail.com,"",,,1
"",,547:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,marie.metz@github.com,"",,,1
"",,829:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,garry27@gmail.com,"",,,1
"",,1195:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,katherine.feest@gmail.com,"",,,1
"",,49:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,harrison.kuvalis@github.com,"",,,1
"",,1367:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,pauline52@github.com,"",,,1
"",,877:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,kaela20@github.com,"",,,1
"",,737:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,jill.kuhn@github.com,"",,,1
"",,10:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,marcus35@gmail.com,"",,,1
"",,1325:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,aleen_okon@company.dev,"",,,1
"",,1479:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,cassidy38@github.com,"",,,1
"",,231:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,jennie8@gmail.com,"",,,1
"",,1484:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,arielle_rogahn82@github.com,"",,,1
"",,485:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,albertha.hyatt62@gmail.com,"",,,1
"",,1060:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,rose_wisoky87@gmail.com,"",,,1
"",,1474:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,susana18@gmail.com,"",,,1
"",,1015:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,jeffrey.ohara93@github.com,"",,,1
"",,430:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,jarrod60@gmail.com,"",,,1
"",,350:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,opal_streich-nienow60@gmail.com,"",,,1
"",,561:octodemo.com:Member,false,true,false,Enterprise,,"","","",,"",,,false,ellis_white31@gmail.com,"",,,1
pearl38@company.onmicrosoft.com,,"",false,false,false,Enterprise,,"",Pending invitation,"",,initech,,,false,"","",,,0
bria.lindgren67@corp.okta.com,,"",false,false,false,Enterprise,,"",Pending invitation,"",,wonka-factory,,,false,"","",,,0
reginald_daugherty13@corp.okta.com,,"",false,false,false,Enterprise,,"",Pending invitation,"",,acme-corp,,,false,"","",,,0
lola.morar36@company.onmicrosoft.com,,"",false,false,false,Enterprise,,"",Pending invitation,"",,starkindustries,,,false,"","",,,0
